node    total in_lgst_chain    ratio    power(%)
0        37        0            0        5.68034e-05
1        37        0            0        0.954695
2        37        2        0.0540541        5.48415
3        37        1        0.027027        3.32886
4        37        3        0.0810811        3.8668
5        37        0            0        1.5892
6        37        0            0        0.341448
7        38        3        0.0789474        4.92717
8        37        1        0.027027        4.9303
9        37        5        0.135135        6.78396
10        37        2        0.0540541        2.78344
11        37        1        0.027027        3.7699
12        37        2        0.0540541        6.03111
13        37        0            0        0.250923
14        37        1        0.027027        0.388022
15        37        3        0.0810811        3.84454
16        38        1        0.0263158        4.87117
17        37        0            0        0.0558731
18        37        0            0        2.78281
19        37        0            0        0.485138
20        37        2        0.0540541        3.03009
21        37        0            0        4.98456
22        37        3        0.0810811        4.27476
23        37        1        0.027027        6.75306
24        37        0            0        6.14144
25        37        1        0.027027        3.82442
26        37        2        0.0540541        0.667477
27        37        4        0.108108        4.74611
28        37        0            0        3.0193
29        37        1        0.027027        5.08921
